EN	gloss	latin	han	root_level
There are many options.	RI many choose-thing.	Ri mur erikekosa.	⊢ 多 选物.	4
There is a problem.	RI bad-thing.	Ri marumkosa.	⊢ 悪物.	2
There is no problem.	RI no bad-thing.	Ri nem marumkosa.	⊢ 无 悪物.	2
There's a 30% chance of rain.	RI 30 in-hundred rain if.	Ri 30 inkaton ruva pos.	⊢ 30 内百 雨 可.	4
There are good reasons for that decision.	RI many good reason for not-this choose-close.	Ri mur pona rason por nontis erikevin.	⊢ 多 好 故 為 不此 选閉.	4
It's raining.	RI rain.	Ri ruva.	⊢ 雨.	4
It might rain.	RI if rain.	Ri pos ruva.	⊢ 可 雨.	4
The road is closed.	way RI close.	Moto ri vin.	方 ⊢ 閉.	3
The road has been closed.	RI close A way.	Ri vin a moto.	⊢ 閉 ⇒ 方.	3
My luggage has been lost.	RI lose A self go-box.	Ri perti a eko irevaso.	⊢ 失 ⇒ 己 行皿.	5
The shop opens at eight.	RI open A buy-place in eight hour.	Ri apa a komparroko in ots ora.	⊢ 开 ⇒ 買所 内 8 刻.	4
Someone is coming.	RI come.	Ri veni.	⊢ 来.	2
They say the doctor is coming.	not-this-person RI say A heal-person RI come.	Nontisomo ri tika a sanaomo ri veni.	不此人 ⊢ 言 ⇒ 医人 ⊢ 来.	4
They say time is money.	RI say A time RI money.	Ri tika a tempo ri moni.	⊢ 言 ⇒ 时 ⊢ 贝.	3
English is spoken here.	RI say A English in this-place.	Ri tika a Inkiris in tisroko.	⊢ 言 ⇒ Inkiris 内 此所.	2
Food is sold here.	RI buy A food in this-place.	Ri kompar a komi in tisroko.	⊢ 買 ⇒ 食 内 此所.	4
I was told this.	RI say A this to self.	Ri tika a tis ver eko.	⊢ 言 ⇒ 此 向 己.	2
Is this allowed?	RI law A this, what?	Ri reke a tis, ker?	⊢ 法 ⇒ 此, 何?	5
It's not allowed.	RI not law.	Ri non reke.	⊢ 不 法.	5
Payment is required.	RI need give A money.	Ri neses tonar a moni.	⊢ 要 与 ⇒ 贝.	4
This one is better than that one.	this RI more good from not-this.	Tis ri mas pona vons nontis.	此 ⊢ 更 好 从 不此.	2
It's worse than that one.	this RI more not-good from not-this.	Tis ri mas nonpona vons nontis.	此 ⊢ 更 不好 从 不此.	2
It's cheaper than in the city.	this RI more small money from city.	Tis ri mas piko moni vons sitas.	此 ⊢ 更 小 贝 从 市.	4
It's cheaper here than at home.	in this-place this RI more small money from in home.	In tisroko tis ri mas piko moni vons in kase.	内 此所 此 ⊢ 更 小 贝 从 内 户.	3
It's as good as it was.	this RI same good from before-thing.	Tis ri sam pona vons yerkosa.	此 ⊢ 同 好 从 前物.	3
It's the oldest.	this RI more old from all.	Tis ri mas vetus vons pan.	此 ⊢ 更 古 从 全.	5
